date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:03:21	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Jan%202022%2010:03:22%20GMT	https://speaklies.com/robots.txt		(from )
11:03:22	61371/61371	---MCZ	200	added ('OK')	text/html	etag:%2217-1641076962;gz%22	https://speaklies.com/	C:/My%20Web%20Sites/rrere/speaklies.com/index.html	(from )
11:03:24	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2002%20Jan%202022%2010:03:24%20GMT	https://speaklies.com/xmlrpc.php	C:/My%20Web%20Sites/rrere/speaklies.com/xmlrpc.php	(from https://speaklies.com/)
11:03:26	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/rrere/www.google-analytics.com/analytics.js	(from https://speaklies.com/)
11:03:26	183990/183990	---M--	200	added ('OK')	image/jpeg	etag:%222ceb6-5d84cfe0-0;;;%22	https://speaklies.com/wp-content/uploads/2019/09/Promo_Amber-1024x1024.jpg	C:/My%20Web%20Sites/rrere/speaklies.com/wp-content/uploads/2019/09/Promo_Amber-1024x1024.jpg	(from https://speaklies.com/)
11:03:26	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Jan%202022%2010:03:25%20GMT	https://speaklies.com/feed/	C:/My%20Web%20Sites/rrere/speaklies.com/feed/index.html	(from https://speaklies.com/)
11:03:26	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Jan%202022%2010:03:26%20GMT	https://speaklies.com/comments/feed/	C:/My%20Web%20Sites/rrere/speaklies.com/comments/feed/index.html	(from https://speaklies.com/)
11:03:27	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Jan%202022%2010:03:28%20GMT	https://speaklies.com/linkid.js	C:/My%20Web%20Sites/rrere/speaklies.com/linkid.3.delayed	(from https://speaklies.com/)
11:03:28	53907/53907	---M-Z	200	added ('OK')	text/css	etag:%22d293-5f589aa9-0;gz%22	https://speaklies.com/wp-includes/css/dist/block-library/style.min.css?ver=5.5.7	C:/My%20Web%20Sites/rrere/speaklies.com/wp-includes/css/dist/block-library/style.min234e.css	(from https://speaklies.com/)
11:03:28	1920/1920	---M-Z	200	added ('OK')	text/css	etag:%22780-5f589abf-0;gz%22	https://speaklies.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.2.2	C:/My%20Web%20Sites/rrere/speaklies.com/wp-content/plugins/contact-form-7/includes/css/stylesbb49.css	(from https://speaklies.com/)
11:03:29	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-5d81f90e-0;gz%22	https://speaklies.com/wp-content/themes/anggita/css/font-awesome.min.css?ver=1	C:/My%20Web%20Sites/rrere/speaklies.com/wp-content/themes/anggita/css/font-awesome.min68b3.css	(from https://speaklies.com/)
11:03:29	121151/121151	---M-Z	200	added ('OK')	text/css	etag:%221d93f-5d81f90e-0;gz%22	https://speaklies.com/wp-content/themes/anggita/css/bootstrap.min.css?ver=1	C:/My%20Web%20Sites/rrere/speaklies.com/wp-content/themes/anggita/css/bootstrap.min68b3.css	(from https://speaklies.com/)
11:03:29	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5d81f90e-0;gz%22	https://speaklies.com/wp-content/themes/anggita/css/magnific-popup.css?ver=1	C:/My%20Web%20Sites/rrere/speaklies.com/wp-content/themes/anggita/css/magnific-popup68b3.css	(from https://speaklies.com/)
